Outlet,General UserName,Politics username,,
Daily Wire,realDailyWire,,,
The National Review,NRO,,,
The American Conservative,amconmag,,,
InfoWars,infowars,,,
Breitbart,BreitbartNews,,,
New York Times,nytimes,nytimespolitics,,
BuzzFeed News,BuzzFeedNews,BuzzFeedPol,,
Fox News,FoxNews,foxnewspolitics,,
MSNBC,MSNBC,,,
The Washington Post,washingtonpost,postpolitics,,
CNN,CNN,CNNPolitics,,
NPR,NPR,nprpolitics,,
CBS,CBS,,,
Vox,voxdotcom,,,
ABC,ABC,ABCPolitics,,
NBC,NBCNews,NBCPolitics,,
HuffPost,HuffPost,HuffPostPol,,
Pew Research Center,pewresearch,pewjournalism,,
Politico,politico,,,
Associated Press,AP,,,
Reuters,Reuters,ReutersPolitics,,
Wall Street Journal,WSJ,WSJusnews,,
LA Times,latimes,latimespolitics,,
USA Today,USATODAY,usatodayDC,,
The Atlantic,TheAtlantic,TheAtlPolitics,,
Time,TIME,,,
The New Yorker,NewYorker,,,
BBC,BBC,BBCPolitics,BBCBreaking,BBCWorld
The Economist,TheEconomist,,,
The Blaze,theblaze,,,
The Guardian,guardian,GdnPolitics,,
Bloomberg,Bloomberg,bpolitics,business,
Slate,Slate,,,
Mother Jones,MotherJones,,,
Al Jazeera America,ajam,,,
